year,gdp_growth,unemployment,delta_unemployment
1992,-2.097738754022,13.781,0.2789999999999999
1993,-0.740591700332374,14.026,0.24499999999999922
1994,10.5880004161286,13.858,-0.16799999999999926
1995,-5.40544787197402,14.054,0.19599999999999973
1996,12.3728762700496,13.362,-0.6920000000000002
1997,-1.56070234550782,14.025,0.6630000000000003
1998,7.23855267691987,13.359,-0.6660000000000004
1999,1.6970614772566,13.94,0.5809999999999995
2000,2.58218091499747,13.58,-0.35999999999999943
2001,7.72182519577728,12.46,-1.1199999999999992
2002,3.73019737485745,11.59,-0.870000000000001
2003,6.17110214953244,11.92,0.33000000000000007
2004,4.57138016516208,10.83,-1.0899999999999999
2005,3.19224973015831,11.01,0.17999999999999972
2006,7.7908200104027,9.67,-1.3399999999999999
2007,3.44106776690418,9.56,-0.10999999999999943
2008,5.68453936284732,9.57,0.009999999999999787
2009,3.74576940136258,8.96,-0.6099999999999994
2010,3.49955709403216,9.09,0.129999999999999
2011,5.52464523319847,8.91,-0.17999999999999972
2012,3.06234368502997,8.99,0.08000000000000007
2013,4.12221286860944,9.23,0.2400000000000002
2014,2.7192440802029,9.7,0.46999999999999886
2015,4.34458297635238,9.46,-0.23999999999999844
2016,0.52118550608968,9.3,-0.16000000000000014
2017,5.05789816173446,9.22,-0.08000000000000007
2018,3.06564133025955,9.272,0.0519999999999996
2019,2.89097476137077,9.191,-0.08099999999999952
2020,-7.17820744246774,11.189,1.9979999999999993
2021,8.15473889823681,10.551,-0.6379999999999999
2022,1.81269242194809,9.413,-1.138
2023,3.65564411017931,8.896,-0.5169999999999995
2024,3.79336515978963,9.103,0.20699999999999896
